C1:1
D2:1
D3:1
DRV8874_CARRIER_BOARD1:1
DRV8874_CARRIER_BOARD2:1
DRV8874_CARRIER_BOARD3:1
DRV8874_CARRIER_BOARD4:1
DRV8874_CARRIER_BOARD5:1
IC1:1
J1:1
J10:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
PS1:1
Q1:1
R1:1
R2:1
SW1:1
SW2:1
