Designator,Footprint,Quantity,Value,LCSC Part #
"AMBER_LED1, AMBER_LED10, AMBER_LED11, AMBER_LED12, AMBER_LED13, AMBER_LED14, AMBER_LED15, AMBER_LED16, AMBER_LED2, AMBER_LED3, AMBER_LED4, AMBER_LED5, AMBER_LED6, AMBER_LED7, AMBER_LED8, AMBER_LED9",ELSW-F41Y1-OLPNM-AA3A5 amber led,16,~,C282222
"IC1, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9",SFH571123Z,16,SFH_5711-2_3-Z,C2655106
J2,TE_1-87465-9,1,Conn_01x18_Pin,C5142873
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U4, U5, U6, U7, U8, U9",general_resistor,32,~,C57438
