"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC16,IC15,IC14,IC13,IC12,IC11,IC10,IC9,IC8,IC7,IC6,IC5,IC4,IC3,IC2,IC1";"SFH571123Z";16;"SFH_5711-2_3-Z";;;
2;"U21,U15,U28,U29,U26,U7,U18,U13,U22,U4,U24,U23,U5,U30,U32,U25,U16,U20,U19,U6,U2,U14,U8,U3,U31,U10,U1,U11,U27,U12,U17,U9";"general_resistor";32;"~";;;
3;"AMBER_LED2,AMBER_LED16,AMBER_LED7,AMBER_LED10,AMBER_LED12,AMBER_LED5,AMBER_LED9,AMBER_LED4,AMBER_LED8,AMBER_LED14,AMBER_LED3,AMBER_LED15,AMBER_LED13,AMBER_LED11,AMBER_LED1,AMBER_LED6";"ELSW-F41Y1-OLPNM-AA3A5 amber led";16;"~";;;
4;"J2";"TE_1-87465-9";1;"Conn_01x18_Pin";;;
